gene,half_life_hr,decay_rate,p_val,geneSymbol
2310011J03Rik,5.94156234067647,-2.14848503968834,0.447009596041805,2310011J03Rik
Peli1,1.55327414812007,-0.806877977256582,0.310668932731741,Peli1
Thap2,2.90618330363164,-1.43335356138382,0.306093545100474,Thap2
Slc1a4,2.79756085717366,-1.3952608356772,0.338298225173399,Slc1a4
Dock2,13.6573771045638,-2.98079274344442,0.73162915984998,Dock2
Rab1a,3.02167972911568,-1.47232579903954,0.228921088105865,Rab1a
Gamt,5.57792657163487,-2.08533004577684,0.683703621386115,Gamt
Actr2,22.5973199020619,-3.4843442314234,0.700643350226966,Actr2
Ndufs7,20.1592133964473,-3.37017434499024,0.691310951075508,Ndufs7
Mum1,2.74499160386268,-1.37629093683636,0.363485221772454,Mum1
Uqcr11,36.9665710400579,-3.97652693943311,0.857759510863255,Uqcr11
Cnot2,1.76920394707668,-0.937042618586395,0.323879457579285,Cnot2
Tcf3,9.34806086077134,-2.60168184780312,0.562319909318518,Tcf3
Frs2,2.6031506741948,-1.32323542974204,0.460161501048552,Frs2
Yeats4,8.84935411641155,-2.54685739574181,0.442892132150029,Yeats4
Adora2a,1.3336000220184,-0.654394989546609,0.151194462638232,Adora2a
Cpm,3.53438441657136,-1.62905206518237,0.279291184202254,Cpm
Mdm2,2.6079357299247,-1.32507192090864,0.224742825244432,Mdm2
E2f7,2.40423753555136,-1.24374574083902,0.454764276166903,E2f7
Osbpl8,2.50894735220468,-1.28637620416854,0.274874879210379,Osbpl8
Mknk2,7.00338453138445,-2.31290645726984,0.440817504395056,Mknk2
Cabin1,5.63151914826004,-2.09489215728749,0.47191574366973,Cabin1
Ap3d1,3.90601502481174,-1.72903059962674,0.362735715205265,Ap3d1
Phlda1,3.68768304355918,-1.67151127994694,0.396329887137164,Phlda1
Sf3a2,6.30816629278169,-2.2083579515388,0.301038440718029,Sf3a2
Mdm1,8.15661660447573,-2.4653423717697,0.496150284493736,Mdm1
Jsrp1,1.24077032286064,-0.582245335429726,0.118125209397533,Jsrp1
Vps13d,3.73932624279812,-1.68541836679487,0.501472030200495,Vps13d
Llph,3.36603042257828,-1.58024705450857,0.448380906770783,Llph
Tmbim4,10.6343003909631,-2.73059758342763,0.453350790139118,Tmbim4
Irak3,3.26713107610737,-1.55042517364075,0.401192872355308,Irak3
Helb,3.94159562525292,-1.73809854293748,0.404831351153963,Helb
Prmt2,3.92474287718463,-1.73381376067268,0.35916980024857,Prmt2
Dip2a,30.8172076343986,-3.79458614398088,0.800100905222368,Dip2a
Hmg20b,8.23740983902088,-2.47519887516324,0.569746390998355,Hmg20b
4930404N11Rik,3.09045462104997,-1.49483112722266,0.612659813956951,4930404N11Rik
Fzr1,2.33883815888404,-1.21616721335031,0.246097244685835,Fzr1
Ncln,15.4159340872704,-3.1019145760794,0.609831105989642,Ncln
Hcfc2,5.22592617118623,-2.02014496036756,0.519285184090905,Hcfc2
Nfyb,3.56476600276705,-1.6376113349212,0.318096708426802,Nfyb
Txnrd1,5.18017557034738,-2.01135187016813,0.386079785880628,Txnrd1
D10Wsu102e,4.20256108773213,-1.80220704282237,0.449126487978015,D10Wsu102e
Pofut2,5.34329043261164,-2.04235456967153,0.36792596651787,Pofut2
Slc36a1,15.6948198882878,-3.11984363507146,0.755982394995664,Slc36a1
Adarb1,4.18858987270128,-1.79887705197675,0.384367210743502,Adarb1
Appl2,3.40286660759559,-1.59113111685892,0.507754851068148,Appl2
Sumo3,51.0206566548464,-4.29874350375046,0.876858099067693,Sumo3
Lyrm7,9.72251097699265,-2.64095683665864,0.585503637028181,Lyrm7
Fbxw11,1.61938891998852,-0.848561788780785,0.274964926916469,Fbxw11
Stk10,2.64483468917879,-1.33912148457346,0.314594575954014,Stk10
Papolg,1.73404297244174,-0.916968580894611,0.138865304534813,Papolg
Rel,1.92602626572607,-1.02197187131324,0.230960890115598,Rel
Pfkl,8.07721139670268,-2.45555960937516,0.600066133132405,Pfkl
Pus10,3.45866223494584,-1.60739479758893,0.319391476038249,Pus10
Rhbdf1,3.76180837511334,-1.6914127131917,0.417008267759482,Rhbdf1
Pex13,1.21761697854297,-0.563408572879578,0.145769260938016,Pex13
1810043G02Rik,7.19593903269846,-2.34002976424641,0.877442033082369,1810043G02Rik
Mpg,19.2387537593641,-3.32343959029951,0.801348797528743,Mpg
Ahsa2,9.27608661061822,-2.59395267699671,0.648974286449062,Ahsa2
Nprl3,4.31594515326851,-1.8288292601277,0.438805940492937,Nprl3
Xpo1,3.34724151087387,-1.57464949762438,0.317339225624496,Xpo1
Cpeb4,3.29775577811728,-1.55975509046629,0.497739487784369,Cpeb4
