Gene,half_life_hr,decay_rate,p_val,geneSymbol
Itgae,3.667667115,-1.666068717,0.000462344,Itgae
Itgal,1.768564152,-0.936680924,0.000936565,Itgal
Itgam,2.246752658,-1.175998831,4.31E-05,Itgam
Itgav,4.014940373,-1.756535417,8.26E-06,Itgav
Itgax,2.236233852,-1.171306055,8.36E-06,Itgax
Itgb1,6.970697759,-2.308228249,3.94E-05,Itgb1
Itgb1bp1,5.903241694,-2.14201456,9.61E-05,Itgb1bp1
Itgb2,2.266902223,-1.18492716,9.99E-07,Itgb2
Itgb3,2.486317438,-1.277315596,2.07E-05,Itgb3
Eif6,4.353171147,-1.8374175,5.32E-06,Eif6
Itgb5,3.448596292,-1.604480197,6.71E-06,Itgb5
Itgb6,3.3980214,-1.589706242,8.69E-06,Itgb6
Itgb7,5.259917113,-2.026628189,2.67E-05,Itgb7
Cd47,4.17688742,-1.796079253,4.57E-06,Cd47
Itih4,4.27500056,-1.819297154,0.003751796,Itih4
Itln1,1.27282726,-0.607753536,0.08569122,Itln1
Stt3a,6.180743202,-2.187951444,1.29E-05,Stt3a
Itm2a,12.81018329,-2.916753344,0.008164176,Itm2a
Itm2b,5.222596742,-2.019507659,9.99E-07,Itm2b
Cuzd1,4.716503041,-1.917580564,0.000622658,Cuzd1
Itpa,6.026350728,-2.162654562,5.00E-05,Itpa
Itpr1,2.074773672,-1.096364995,2.48E-05,Itpr1
Itpr2,3.160791637,-1.517335435,8.66E-05,Itpr2
Itpr3,4.866613304,-1.948911196,4.19E-06,Itpr3
Itsn1,4.232119861,-1.809215937,4.17E-05,Itsn1
Ivl,2.955702192,-1.450249172,8.09E-06,Ivl
Jag1,2.267951294,-1.185389831,0.000403665,Jag1
Jag2,3.895982799,-1.726458891,0.000167676,Jag2
Jak1,4.045686415,-1.764164151,3.58E-06,Jak1
Jak2,2.72486222,-1.368930786,6.14E-06,Jak2
Jak3,2.414384143,-1.247957162,1.15E-05,Jak3
F11r,4.562659203,-1.884418533,1.43E-07,F11r
Atcay,4.849055824,-1.945296931,0.000725524,Atcay
Jarid2,2.334157681,-1.21416401,4.05E-06,Jarid2
Jrk,1.329033053,-0.65096457,0.002700819,Jrk
Ush1g,4.296618704,-1.824341286,0.030275628,Ush1g
