geneSymbol,half_life_hr,decay_rate,p_val
Stk24,2.94280817,-1.445877206,0.048471385
Ggact,7.049793197,-2.319511203,0.119664219
Vcl,6.954827253,-2.305948908,0.091582352
Vdr,2.787663127,-1.391716577,0.129702605
Vegfa,0.287010482,0.881723622,0.034421686
Lin7c,3.663481411,-1.664926821,0.040689008
Fam105a,2.046204,-1.08249929,0.048790281
Trio,1.155002764,-0.510615657,0.345591639
Vezf1,0.726908576,-0.047558355,0.858098606
6-Mar,1.561815323,-0.812361734,0.042678571
Vhl,1.918739698,-1.018181484,0.066602033
Dcaf13,7.36769818,-2.363618255,0.175441736
Ezr,11.47270242,-2.806483432,0.209732983
Vim,6.355589493,-2.215847581,0.109772285
Fam49b,12.73948614,-2.911219235,0.243114943
Vpreb3,189.1511171,-5.609059177,0.947259202
Zc3h3,1.61714162,-0.847173079,0.242166735
Naprt1,1.53009395,-0.79184206,0.051680668
Ccdc166,1.451646671,-0.739211468,0.024596445
Lrrc14,1.089497835,-0.452229809,0.019616187
C030006K11Rik,32.80583075,-3.857119187,0.62413144
Arhgap39,3.410858218,-1.593476857,0.060727734
Zfp7,0.393753078,0.56551835,0.244064321
Trpv2,9.340091975,-2.60082902,0.14375547
Ankrd54,1.690624673,-0.89161101,0.050759788
Tmem184b,2.694421341,-1.357696386,0.073510291
Sun2,24.4912958,-3.564830701,0.483834304
Mkl1,0.947766509,-0.312865815,0.030099425
Mcat,3.773288104,-1.694459718,0.103048613
Ldoc1l,1.828714779,-0.970126334,0.042141183
Gramd4,3.279431424,-1.554182981,0.052234125
Cerk,3.528583498,-1.627409436,0.028885009
Tbc1d22a,18.90484469,-3.305931143,0.3738806
Brd1,0.742090406,-0.068228719,0.692268977
Zbed4,1.9383769,-1.028363894,0.094949425
Alg12,5.470664523,-2.065913015,0.05779794
Pim3,0.515146997,0.296790067,0.119924498
Selo,5.566763328,-2.083326716,0.118276838
Wbp2,14.80782395,-3.061668607,0.314721089
Fmnl3,3.118688646,-1.503925528,0.034960157
Gxylt1,4.568039468,-1.885597033,0.228820381
Pphln1,3.728701915,-1.682573082,0.069503946
Baz1b,1.82075911,-0.965766428,0.035989892
Rapgef3,0.83990701,-0.192048825,0.588159214
Senp1,2.528013759,-1.29394684,0.045188801
Wee1,0.276134502,0.920354284,0.037985609
Spryd3,3.47822529,-1.61303511,0.057929862
Aaas,76.5595967,-4.7045824,0.746320138
Atf7,1.177871626,-0.530222024,0.321121775
Wfs1,0.716250611,-0.032787763,0.928692506
Rmi2,10.53629759,-2.72133913,0.265765775
Cpped1,7.715353667,-2.409725247,0.183506379
Marf1,3.877194257,-1.721624683,0.079869242
Zmat3,2.469430807,-1.270500602,0.107964552
Klhl22,3.751847486,-1.688761302,0.138406398
Wiz,1.985911642,-1.052590995,0.038034457
Atp13a3,6.9434806,-2.304316097,0.145552041
Wnt10a,1.503126609,-0.774060265,0.003459435
Lsg1,2.952126915,-1.449038819,0.04720894
Fam43a,0.438088599,0.458821188,0.012871987
Wnt10b,1.787189383,-0.947157129,0.091076532
Pak2,7.305172748,-2.355095613,0.089601338
Nrros,0.329061145,0.744998773,0.019749971
Ubxn7,1.662990285,-0.875130279,0.076058532
Dirc2,2.281335912,-1.191274118,0.08631466
Golgb1,2.784900386,-1.390725025,0.113015499
Poglut1,4.008280449,-1.754875254,0.11478242
Dzip3,5.304468567,-2.035062512,0.186032613
C330027C09Rik,16.08648972,-3.144492692,0.286031998
Cldn25,3.505356263,-1.62080508,0.023468858
Wrn,11.49667901,-2.808571133,0.358343851
Crybg3,2.616542091,-1.328366554,0.043804714
Xbp1,0.772866456,-0.108863915,0.14275996
Xdh,1.214471737,-0.560822119,0.592972245
Xk,2.155207434,-1.134399897,0.084931856
Scaf4,1.384791827,-0.692062744,0.030612155
Setd4,7.387842211,-2.366348625,0.226564844
Zdhhc14,1.422313993,-0.718798038,0.253181313
Tfb1m,14.40411155,-3.034026611,0.322912551
4732491K20Rik,0.955432265,-0.320921514,0.360132005
Acat3,10.54104922,-2.721790005,0.133706957
Zfp160,0.677828372,0.022348241,0.929303102
Zfp758,0.945526548,-0.310499608,0.258058959
Flywch1,42.9313805,-4.126115959,0.64682522
Tbc1d24,2.377016191,-1.23235892,0.006064729
Rab40c,0.49061782,0.345576905,0.148003615
Bnip1,2.487682462,-1.277864459,0.023921331
Lemd2,2.916697573,-1.436964929,0.056348343
D17Wsu92e,14.94884897,-3.071147226,0.282983758
Uhrf1bp1,2.584673441,-1.316112092,0.034468925
Anks1,4.353879215,-1.837580142,0.095711764
Zfp523,3.849471444,-1.714448772,0.05331463
Btbd9,2.219230397,-1.163673388,0.02976959
Slc37a1,1.083403391,-0.446620295,0.188747297
Zfp472,0.30159341,0.832162573,0.024824008
Zfp81,0.682578733,0.015364479,0.940536194
2-Mar,77.61574813,-4.718283267,0.758663297
Tmem63b,3.238005024,-1.541470327,0.157937432
Abcc10,7.672983364,-2.404218426,0.328287869
Rrp36,3.650907555,-1.661488702,0.062752997
Ubr2,2.927030904,-1.440501486,0.049192273
Usp49,1.345544188,-0.663311452,0.283115554
Plcl2,1.3297514,-0.651504928,0.033182457
Zfp959,0.716627844,-0.033314302,0.864721318
Safb2,2.774024953,-1.386812238,0.157832231
Safb,3.151310048,-1.514331175,0.051073155
Dus3l,39.58881996,-4.045059675,0.698429708
Crb3,2.430450086,-1.254589381,0.30383103
Pja2,12.13749411,-2.862812269,0.244847822
Lclat1,2.804163772,-1.397618295,0.075423936
Fez2,1.66984039,-0.879240968,0.09079413
Srsf7,4.074749858,-1.771322281,0.046743968
Map4k3,1.149686888,-0.506002554,0.200504732
Ttc7,19.32011486,-3.327659694,0.309395401
Fbxo11,0.824243221,-0.173223299,0.581374589
Svil,4.891018194,-1.953913422,0.163186946
Wac,0.856767306,-0.211924002,0.109236883
Thoc1,11.21492837,-2.783758702,0.250141354
Mib1,3.85413065,-1.71565839,0.0926555
Rbbp8,7.805193613,-2.421302281,0.144836125
Rsl24d1,5.858993623,-2.134490773,0.12470972
Klhl14,0.674105622,0.027855551,0.811756186
Ino80c,8.357412339,-2.489661771,0.235940062
AW554918,2.558257372,-1.305839233,0.195227104
Pik3c3,2.502112648,-1.283648355,0.05929844
Ammecr1l,0.935175008,-0.299491328,0.248859608
Wdr36,9.974310585,-2.666525767,0.12888946
Fam13b,2.661032657,-1.345227185,0.179467483
Reep2,11.89274533,-2.842441499,0.308257234
Etf1,373.891958,-6.290479794,0.919788093
Apbb3,4.640936785,-1.90142916,0.142916577
Rbm27,1.646148526,-0.864951254,0.079098535
Pggt1b,5.165448348,-2.008504824,0.11447073
Ticam2,1.062893605,-0.427507926,0.093126153
Cep120,1.901231475,-1.009014742,0.094331458
Alpk2,0.866545469,-0.223272223,0.675249743
Mppe1,2.781022711,-1.389331662,0.091352464
Cep76,2.823447839,-1.404471697,0.048768583
Zadh2,2.84052402,-1.41050147,0.048732951
Ppp2r5b,2.210216567,-1.159603426,0.181925574
Snx32,2.676560698,-1.351045569,0.08264564
Rin1,0.447955157,0.436549227,0.623233567
Lrfn4,8.51117872,-2.507893364,0.274450614
Kdm2a,0.792841937,-0.134381521,0.718187969
BC021614,0.570912762,0.194005942,0.417801684
Suv420h1,0.5725122,0.191208313,0.564845729
Atrx,5.075759727,-1.990989134,0.186699068
Taf6l,10.71983056,-2.73860827,0.285836525
Eml3,13.83132969,-2.993449207,0.318256591
Xpa,22.15619009,-3.46462984,0.602347435
Xpc,2.409792328,-1.246053493,0.099522905
Cyb561a3,11.85022909,-2.83886012,0.251818815
Dak,8.209291424,-2.471779534,0.421084048
Ercc5,3.747601912,-1.687629066,0.071033266
Patl1,1.742389973,-0.921770639,0.058374777
Xrcc1,61.82365778,-4.490799024,0.736191286
Nmrk1,7.444431172,-2.37397918,0.207400698
D030056L22Rik,2.654011777,-1.342585294,0.062237403
Trpm6,3.594388148,-1.645886702,0.36171478
Abhd17b,1.135287739,-0.493399054,0.017435197
Smc5,7.545217248,-2.387426806,0.140124948
Pgm5,1.105983739,-0.467248121,0.303795773
Cbwd1,1.971401645,-1.045257705,0.116555164
C030046E11Rik,1.634220051,-0.857678578,0.081794892
Ermp1,9.010273918,-2.564878393,0.20623592
Myof,3.027947448,-1.474397901,0.02229988
Yes1,2.165672869,-1.139244028,0.16736763
Ubtd1,2.12507721,-1.120321057,0.034747127
Cox15,7.629052583,-2.398476588,0.11583829
Erlin1,4.710784348,-1.916367343,0.17470321
Fam178a,1.164095691,-0.518457476,0.126628169
Peo1,2.457488583,-1.265652848,0.019024954
Lzts2,0.950468502,-0.315712664,0.540113735
Pprc1,1.1223105,-0.481902427,0.013514297
Wbp1l,0.762952828,-0.095953847,0.488318666
Taf5,1.308694309,-0.63554285,0.030811552
Ablim1,7.793295942,-2.41977679,0.178436258
