Gene,Halflife
ENSMUSG00000000787,0.011552453
ENSMUSG00000000791,0.011552453
ENSMUSG00000000792,0.011552453
ENSMUSG00000000794,0.011552453
ENSMUSG00000000804,0.011552453
ENSMUSG00000000805,0.011552453
ENSMUSG00000000811,0.011552453
ENSMUSG00000000823,0.011552453
ENSMUSG00000000826,0.011552453
ENSMUSG00000000827,0.011552453
ENSMUSG00000000838,0.011552453
ENSMUSG00000000861,0.011552453
ENSMUSG00000000869,0.011552453
ENSMUSG00000000876,0.011552453
ENSMUSG00000000881,0.011552453
ENSMUSG00000000884,0.011552453
ENSMUSG00000000901,0.011552453
ENSMUSG00000000902,0.011552453
ENSMUSG00000000903,0.011552453
ENSMUSG00000000915,0.011552453
ENSMUSG00000000916,0.011552453
ENSMUSG00000000934,0.011552453
ENSMUSG00000000938,0.011552453
ENSMUSG00000000942,0.011552453
ENSMUSG00000000948,0.011552453
ENSMUSG00000000957,0.011552453
ENSMUSG00000000958,0.011552453
ENSMUSG00000000959,0.011552453
ENSMUSG00000000976,0.011552453
ENSMUSG00000001014,0.011552453
ENSMUSG00000001016,0.011552453
ENSMUSG00000001017,0.011552453
ENSMUSG00000001018,0.011552453
ENSMUSG00000001020,0.011552453
ENSMUSG00000001021,0.011552453
ENSMUSG00000001023,0.011552453
ENSMUSG00000001025,0.011552453
ENSMUSG00000001029,0.011552453
ENSMUSG00000001034,0.011552453
ENSMUSG00000001036,0.011552453
ENSMUSG00000001039,0.011552453
ENSMUSG00000001052,0.011552453
ENSMUSG00000001053,0.011552453
ENSMUSG00000001054,0.011552453
ENSMUSG00000001056,0.011552453
ENSMUSG00000001062,0.011552453
ENSMUSG00000001065,0.011552453
ENSMUSG00000001082,0.011552453
ENSMUSG00000001089,0.011552453
ENSMUSG00000001098,0.011552453
ENSMUSG00000001100,0.011552453
ENSMUSG00000001103,0.011552453
ENSMUSG00000001105,0.011552453
ENSMUSG00000001119,0.011552453
ENSMUSG00000001120,0.011552453
ENSMUSG00000001123,0.011552453
ENSMUSG00000001127,0.011552453
ENSMUSG00000001128,0.011552453
ENSMUSG00000001131,0.011552453
ENSMUSG00000001134,0.011552453
ENSMUSG00000001138,0.011552453
ENSMUSG00000001143,0.011552453
ENSMUSG00000001150,0.011552453
ENSMUSG00000001151,0.011552453
ENSMUSG00000001155,0.011552453
ENSMUSG00000001156,0.011552453
ENSMUSG00000001157,0.011552453
ENSMUSG00000001158,0.011552453
ENSMUSG00000001166,0.011552453
ENSMUSG00000001173,0.011552453
ENSMUSG00000001175,0.011552453
ENSMUSG00000001211,0.011552453
ENSMUSG00000001227,0.011552453
ENSMUSG00000001228,0.011552453
ENSMUSG00000001229,0.011552453
ENSMUSG00000001240,0.011552453
ENSMUSG00000001247,0.011552453
ENSMUSG00000001248,0.011552453
ENSMUSG00000001249,0.011552453
ENSMUSG00000001270,0.011552453
ENSMUSG00000001280,0.011552453
ENSMUSG00000001281,0.011552453
ENSMUSG00000001285,0.011552453
ENSMUSG00000001288,0.011552453
ENSMUSG00000001289,0.011552453
ENSMUSG00000001300,0.011552453
ENSMUSG00000001305,0.011552453
ENSMUSG00000001313,0.011552453
ENSMUSG00000001323,0.011552453
ENSMUSG00000001333,0.011552453
ENSMUSG00000001334,0.011552453
ENSMUSG00000001348,0.011552453
ENSMUSG00000001349,0.011552453
ENSMUSG00000001366,0.011552453
ENSMUSG00000001376,0.011552453
ENSMUSG00000001380,0.011552453
ENSMUSG00000001383,0.011552453
ENSMUSG00000001403,0.011552453
ENSMUSG00000001415,0.011552453
ENSMUSG00000001416,0.011552453
ENSMUSG00000001418,0.011552453
ENSMUSG00000001419,0.011552453
ENSMUSG00000001420,0.011552453
ENSMUSG00000001424,0.011552453
ENSMUSG00000001435,0.011552453
ENSMUSG00000001436,0.011552453
ENSMUSG00000001440,0.011552453
ENSMUSG00000001441,0.011552453
ENSMUSG00000001445,0.011552453
ENSMUSG00000001467,0.011552453
ENSMUSG00000001472,0.011552453
ENSMUSG00000001473,0.011552453
ENSMUSG00000001482,0.011552453
ENSMUSG00000001493,0.011552453
ENSMUSG00000001497,0.011552453
ENSMUSG00000001504,0.011552453
ENSMUSG00000001506,0.011552453
ENSMUSG00000001507,0.011552453
ENSMUSG00000001508,0.011552453
ENSMUSG00000001510,0.011552453
ENSMUSG00000001517,0.011552453
ENSMUSG00000001518,0.011552453
ENSMUSG00000001520,0.011552453
ENSMUSG00000001521,0.011552453
ENSMUSG00000001524,0.011552453
ENSMUSG00000001525,0.011552453
ENSMUSG00000001542,0.011552453
ENSMUSG00000001552,0.011552453
ENSMUSG00000001555,0.011552453
ENSMUSG00000001558,0.011552453
ENSMUSG00000001569,0.011552453
ENSMUSG00000001576,0.011552453
ENSMUSG00000001588,0.011552453
ENSMUSG00000001604,0.011552453
ENSMUSG00000001627,0.011552453
ENSMUSG00000001630,0.011552453
ENSMUSG00000001632,0.011552453
ENSMUSG00000001642,0.011552453
ENSMUSG00000001655,0.011552453
ENSMUSG00000001656,0.011552453
ENSMUSG00000001657,0.011552453
ENSMUSG00000001661,0.011552453
ENSMUSG00000001663,0.011552453
ENSMUSG00000001665,0.011552453
ENSMUSG00000001666,0.011552453
ENSMUSG00000001674,0.011552453
ENSMUSG00000001687,0.011552453
ENSMUSG00000001700,0.011552453
ENSMUSG00000001707,0.011552453
ENSMUSG00000001729,0.011552453
ENSMUSG00000001739,0.011552453
ENSMUSG00000001741,0.011552453
ENSMUSG00000001750,0.011552453
ENSMUSG00000001751,0.011552453
ENSMUSG00000001755,0.011552453
ENSMUSG00000001761,0.011552453
ENSMUSG00000001763,0.011552453
ENSMUSG00000001767,0.011552453
ENSMUSG00000001768,0.011552453
ENSMUSG00000001774,0.011552453
ENSMUSG00000001783,0.011552453
ENSMUSG00000001785,0.011552453
ENSMUSG00000001786,0.011552453
ENSMUSG00000001794,0.011552453
ENSMUSG00000001802,0.011552453
ENSMUSG00000001804,0.011552453
ENSMUSG00000001827,0.011552453
