gene,half_life_hr,decay_rate,p_val
Afmid,4.05116896551877,-1.76551839351491,0.0238390841523035
Mcm9,2.84751091707298,-1.41295817082852,0.00538185006029499
Ifih1,3.27889271649509,-1.55401869954817,0.0176681806836025
Zfp251,1.75348209389863,-0.928116499492967,0.0101559188206373
Pogk,3.74036078618574,-1.68569499425006,0.00450016044260059
Senp8,1.41533554441187,-0.713879557425057,0.012221004741526
Myo1e,2.88899285161561,-1.42742086771712,0.00696057037542639
Tradd,3.76411733154093,-1.69202631385428,0.00871252558265215
9130011E15Rik,3.64036004071947,-1.65859550962439,0.00849901945615271
Zfp949,1.64002280673106,-0.861223068864404,0.00802923898003546
Zgrf1,3.06978088600366,-1.48811910699638,0.000906269461057464
Tmem248,3.83552009108123,-1.71081796317607,0.0114418968190076
Acy3,6.08950927358736,-2.17308042000711,0.0725250567312896
Rnf215,3.14627810272419,-1.5127331201424,0.0180755186731215
0610010F05Rik,7.07873068393689,-2.32360753028455,0.065271813428202
Rbm43,2.15664794205873,-1.13506805819025,0.00843469723329021
Tmem25,16.1931813708805,-3.15110317118339,0.143705027320866
Esm1,5.77377328461461,-2.11983873617702,0.171713987964537
Colec11,290.376869037245,-6.03769254828431,0.948237302688842
Slc41a3,11.3335898688212,-2.79428379175776,0.134135621332125
Pnpt1,6.00936033758482,-2.15983123045021,0.0603267103584599
Slc46a3,2.18032506560597,-1.14598689892976,0.0435712827980509
Ubiad1,1.76692206819903,-0.935752008927956,0.0251307500324832
Lrrcc1,3.11822537165571,-1.50377696944402,0.00870818538205722
Mus81,3.32638719804282,-1.56839971010365,0.0107925106212908
Cdc40,3.46098535654309,-1.60806625423577,0.0132520129357849
Dhx35,4.01683285705937,-1.75700666619579,0.0028993467157968
Telo2,3.70936246478216,-1.67737294005764,0.00863365728877999
Osbpl3,3.40542149767418,-1.59188164038525,0.00532505316763405
Cic,3.67320981006854,-1.66757880804984,0.00426035246326609
Dhx34,3.51586649278835,-1.62379892834929,0.0173024032286435
Smug1,1.60685952598138,-0.840794589690079,0.016203997757847
Stk11ip,5.79197080003338,-2.12298553422167,0.0356308369719887
Rgs12,2.57252829196158,-1.31140210709432,0.00627520222568998
Vps11,4.12119053793272,-1.78265500771826,0.0175849395340016
Lrwd1,4.70681765628588,-1.91552494341152,0.0185296872103962
Mamdc2,9.10234211083669,-2.57504467580647,0.191366642887689
Ulk3,2.77311559954822,-1.38648437388633,0.00341038580812913
Coasy,4.2939756627416,-1.82372595228619,0.0118824264029429
R3hdm2,4.03820390206329,-1.76231293500311,0.0128999715391767
Map3k13,2.00870339085712,-1.06400235532399,0.00333412341271637
Tmprss6,5.37455611205721,-2.04818890738185,0.133677441319077
C2cd2l,2.97283307910071,-1.45602831741115,0.010551329461453
Klhdc3,2.95665896555611,-1.45057282357194,0.0141680795323097
Raver1,4.81035070987525,-1.93728291469731,0.015219529004761
Tysnd1,3.63002969956051,-1.65575375052206,0.0122592110489126
Vwce,3.52972319388686,-1.62773237312273,0.00845479075570856
Bbs10,1.08785017158159,-0.450716349589137,0.121150772245626
Ap2b1,5.80044846029987,-2.1244481558863,0.0304393496356559
